"142,19","2,5","2,5",5,BET,Entrada,Odd,P60,P120,P180,P240,P300,P360,P420,P480,P540,P600,P660,P720,P780,P840,P900,P960,P1020,P1080,P1140,P1200,P1260,P1320,P1380,P1440,P1500,P1560,P1620,P1680,P1740,P1800,P1860,P1920,P1980,P1200,Media Movel,Acertos 60,,Media Geral,P120,P240,P360,P480,P600,P720,P840,P960,P1080,P1200,P1320,,P180,P360,P540,P720,P780,P900,P1080,P1260,P1440,,P240,P480,P720,P960,P1200,P1440,P1680,P1920,,P300,P600,P900,P1200,P1500,P1800,,P360,P720,P1080,,,,,Corr,,EntroAtual,EntroPass,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,P(1),P(0),LOG(P(1);2),LOG(P(2);2),,,,,,,
10,"142,19",-5,0,0,"1,2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,"142,19","6,25",2,0,"3,16",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"142,19",-5,0,0,"1,12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,"142,19",-5,0,0,"1,24",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,"142,19",-5,0,0,"1,33",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,"142,19",-5,0,0,"1,25",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,"142,19","6,25",3,0,"7,88",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,"142,19",-5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,"142,19","-1,25",1,0,"1,72",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,"142,19",-5,0,0,"1,45",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,"142,19","6,25",3,0,"8,8",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,"142,19",-5,0,0,"1,48",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,"142,19",-5,0,0,"1,21",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,"142,19",-5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,"142,19","-1,25",1,0,"1,83",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,"142,19",-5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,"142,19","6,25",2,0,"3,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"142,19","6,25",3,0,"17,32",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,"142,19","-1,25",1,0,"2,01",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,"142,19","6,25",2,0,"5,45",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"142,19","6,25",2,0,"3,95",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"142,19","-1,25",1,0,"2,7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,"142,19","6,25",2,0,"5,78",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"142,19",-5,0,0,"1,04",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,"142,19","-1,25",1,0,"2,04",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,"142,19",-5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,"142,19",-5,0,0,"1,08",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,"142,19",-5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,"142,19",-5,0,0,"1,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
39,"142,19",-5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
40,"142,19","6,25",2,0,"3,44",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"142,19",-5,0,0,"1,04",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,"142,19",-5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,"142,19","-1,25",1,0,"1,52",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44,"142,19",-5,0,0,"1,29",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,"142,19",-5,0,0,"1,25",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,"142,19","-1,25",1,0,"2,08",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47,"142,19","6,25",3,0,"6,96",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,"142,19","-1,25",1,0,"2,21",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49,"142,19","-1,25",1,0,"2,19",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,"142,19","6,25",2,0,"3,51",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"142,19",-5,0,0,"1,25",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,"142,19",-5,0,0,"1,18",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,"142,19",-5,0,0,"1,26",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
54,"142,19",-5,0,0,"1,31",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
55,"142,19",-5,0,0,"1,4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
56,"142,19",-5,0,0,"1,04",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
57,"142,19",-5,0,0,"1,17",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
58,"142,19",-5,0,0,"1,21",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
59,"142,19","-1,25",1,0,"1,79",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,,,,"0,2333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60,"142,19","6,25",3,0,"11,18",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61,"142,19","6,25",3,0,"34,79",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,"142,19","6,25",3,0,"25,75",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
63,"142,19","-1,25",1,0,"2,8",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
64,"142,19",-5,0,0,"1,12",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65,"142,19","-1,25",1,0,"2,08",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,"142,19","6,25",3,0,"11,47",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
67,"142,19","-1,25",1,0,"1,62",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,"142,19","6,25",2,0,"3,93",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"142,19","-1,25",1,0,"1,55",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
70,"142,19","-1,25",1,0,"2,25",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
71,"142,19","6,25",3,0,"7,54",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
72,"142,19","6,25",2,0,"4,13",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"142,19","6,25",3,0,"10,2",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2833",17,,"0,2973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
74,"142,19",-5,0,0,"1,07",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3000",18,,"0,2933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
75,"142,19","6,25",2,0,"5,95",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3000",18,,"0,3026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"142,19","-1,25",1,0,"1,63",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3167",19,,"0,2987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
77,"142,19","6,25",3,0,"6,84",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3000",18,,"0,3077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
78,"142,19","-1,25",1,0,"1,73",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3167",19,,"0,3038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
79,"142,19","6,25",2,0,"3,87",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3167",19,,"0,3125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"142,19",-5,0,0,"1,01",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3333",20,,"0,3086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,"142,19","6,25",3,0,"6,07",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3167",19,,"0,3171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
82,"142,19",-5,0,0,"1,06",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3333",20,,"0,3133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
83,"142,19",-5,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3333",20,,"0,3095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
84,"142,19","6,25",2,0,"4,17",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3333",20,,"0,3176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
